,Question,Answer,Section,Module
345,"What is generally preferred by lenders: fixed charges or floating charges, and why?",Lenders usually prefer fixed charges because they provide greater security by ranking higher in the distribution of assets during insolvency.,Fixed and floating charges,Business Law and Practice
346,Where must fixed and floating charges be registered?,"Fixed and floating charges need to be registered at Companies House, and fixed charges on land also need to be registered with the Land Registry.",Fixed and floating charges,Business Law and Practice
347,What is a personal guarantee in the context of securing a loan for a company?,"A personal guarantee is a commitment made by a shareholder or director to assume responsibility for repaying a loan if the company fails to do so, thus providing security to the lender.",Personal guarantees,Business Law and Practice
348,Under what circumstances might a lender require a personal guarantee from a company shareholder or director?,A lender may require a personal guarantee if the company has a short trading history and lacks assets that can be charged as security for the loan.,Personal guarantees,Business Law and Practice
349,How do personal guarantees affect the advantages of limited liability for shareholders or directors?,Personal guarantees negate the advantages of limited liability because they allow the lender to sue the shareholder or director personally if the company does not repay the loan.,Personal guarantees,Business Law and Practice
350,What fundamental differences should a newly qualified solicitor understand between equity and debt finance?,"A newly qualified solicitor should understand that equity finance involves shares, dividends, irregular return on investment, and voting rights, while debt finance involves loans, regular repayments and interest, with interest payments potentially being tax deductible.",Financing a business,Business Law and Practice
351,What is the meaning of equity in the context of business finance?,"In business finance, equity refers to ownership shares in a company.",Financing a business,Business Law and Practice
352,How does debt finance typically structure returns for the lender compared to equity finance?,"Debt finance generally has regular payments, while equity finance returns are irregular and can vary based on profit-driven dividend payments.",Financing a business,Business Law and Practice
353,How are tax treatments different between equity and debt financing?,"Equity financing is not tax deductible, whereas interest payments in debt financing may be tax deductible as a business expense.",Financing a business,Business Law and Practice
354,What rights are associated with ordinary shares in a company?,Ordinary shares come with rights that include the right to vote and participate in major company decision-making.,Financing a business,Business Law and Practice
355,How does the control over a company differ between shareholders and lenders?,"Shareholders with ordinary shares have control and rights in decision-making, while lenders in a loan arrangement typically do not have control over the running of the company as long as loan payments are made.",Financing a business,Business Law and Practice
356,What challenges might newly formed companies face when seeking equity finance?,Newly formed companies may find it tricky to encourage shareholders to invest significant amounts due to their lack of a track record.,Financing a business,Business Law and Practice
357,Why might newly formed companies struggle to secure debt financing?,Newly formed companies often face difficulties in raising loans because they lack a credit history.,Financing a business,Business Law and Practice
358,What do directors of newly formed companies often need to provide to secure loans?,Directors of newly formed companies often need to offer personal guarantees to the lender to secure loans.,Financing a business,Business Law and Practice
359,How can preference shares incentivize investors in a newly formed company?,Preference shares can incentivize investors by offering them the right to a higher dividend compared to ordinary shares.,Financing a business,Business Law and Practice
360,How does the process of securing financing differ for more established companies versus newly formed companies?,"More established companies can more easily secure loans because they can grant fixed or floating charges to lenders, potentially resulting in lower interest rates due to greater asset backing.",Financing a business,Business Law and Practice
361,What is the responsibility of shareholders regarding the day-to-day management of a company?,Shareholders are not responsible for the day-to-day running of the company; this responsibility lies with the directors.,Shareholders’ decision-making,Business Law and Practice
362,"Who typically makes most decisions within a company, and under what authority do they operate?",Most decisions in a company are made by directors under their powers of general management as outlined in the articles of association.,Shareholders’ decision-making,Business Law and Practice
363,In what situations can the role of a businessperson become confusing in small companies?,"It can be confusing for a businessperson to know in what capacity they are acting, as directors are often shareholders too in very small companies.",Shareholders’ decision-making,Business Law and Practice
364,What types of decisions are reserved for shareholders in a company?,"Certain important decisions, as dictated by the Companies Act 2006 or stipulated in the company’s articles, must be made by shareholders.",Shareholders’ decision-making,Business Law and Practice
365,"What constitutes an ordinary resolution among shareholders, and how is it approved?",An ordinary resolution requires a bare majority of the votes cast at a general meeting or 50% + 1 of the votes to be approved.,Shareholders’ decision-making,Business Law and Practice
366,Can most resolutions in a private limited company be passed by written resolution?,"Yes, most resolutions can also be passed by written resolution in a private limited company.",Shareholders’ decision-making,Business Law and Practice
367,What decisions require an ordinary resolution when a private limited company has adopted model articles?,"Decisions that require an ordinary resolution include removing a director, authorising substantial property transactions, authorising loans to directors, payment for loss of office, share buybacks, removing an auditor, and ratifying a director’s breach of duty.",Shareholders’ decision-making,Business Law and Practice
368,"What is the threshold for a special resolution, and what decisions require it in a private limited company?","A special resolution requires a 75% majority of votes cast at a general meeting, and it is needed to change the company name, amend the articles of association, disapply pre-emption rights, or approve a payment out of capital.",Shareholders’ decision-making,Business Law and Practice
369,"What are formal meetings of shareholders called, and what is the statutory requirement for private companies?","Formal meetings of shareholders are called general meetings, and there is no longer a statutory requirement for private companies to hold an annual general meeting (AGM).",Shareholders’ decision-making,Business Law and Practice
370,"How can a general meeting be called, and what is the normal notice period for a private company?","General meetings are called by the board, and unless a longer period is stipulated in the articles, the minimum notice period is 14 clear days.",Shareholders’ decision-making,Business Law and Practice
371,What is the quorum requirement for general meetings in a private limited company?,"If there is only one shareholder, the quorum requirement is one; in all other cases, it is two unless specified differently in the articles.",Shareholders’ decision-making,Business Law and Practice
372,"Under the model articles, how is voting conducted at general meetings, and what exception exists with polling?","Unless a poll vote is requested, voting is conducted on a show of hands with each shareholder having one vote; in a poll vote, votes are counted according to the number of voting shares held.",Shareholders’ decision-making,Business Law and Practice
373,"In what scenarios are written resolutions used in private limited companies, and what are the stipulations for their circulation?","Written resolutions can be proposed by the board or shareholders controlling 5% of the voting shares, and they are circulated for responses for 28 days, passing once the required majority is obtained.",Shareholders’ decision-making,Business Law and Practice
374,What are the exceptions where written resolutions cannot be used?,Written resolutions cannot be used for ordinary resolutions that propose the removal of a director or an auditor.,Shareholders’ decision-making,Business Law and Practice
375,"How long must minutes of general meetings be stored, and what records must be kept?","Minutes must be taken of all general meetings and stored for ten years, and a record must also be maintained of any written ordinary or special resolutions.",Shareholders’ decision-making,Business Law and Practice
376,How is the principle of majority rule reflected in company law concerning shareholder decisions?,"The principle of majority rule runs throughout company law, with most decisions requiring an ordinary resolution.",Shareholders’ decision-making,Business Law and Practice
377,What voting rights may shareholders possess that could affect their influence in decision-making?,"Shareholders may hold shares that do not have voting rights or may possess shares with weighted voting rights, as stipulated in the articles of association.",Shareholders’ decision-making,Business Law and Practice
378,Why is the careful study of the articles of association important when advising a company law client?,"It is vital to understand the specifics of rights, obligations, and powers related to voting and decision-making, which all stem from the articles of association.",Shareholders’ decision-making,Business Law and Practice
379,What is the primary responsibility of shareholders in regard to a company's operations?,Shareholders are not responsible for the day-to-day running of the company; this responsibility lies with the directors.,"1. Starting a new business through the vehicle of a company, partnership, LLP or as a sole trader.",Business Law and Practice
380,Who typically makes most decisions within a company?,Most decisions in a company are made by directors under their powers of general management in the articles of association.,2. The management of a business and company decision making to ensure compliance with statutory and other legal requirements.,Business Law and Practice
381,In what capacity might directors also be involved in a company aside from their role as directors?,Directors are often shareholders too.,"3. The interests, rights, obligations and powers of stakeholders in a business.",Business Law and Practice
382,What can create confusion for businesspersons in very small companies?,"It can be confusing for a businessperson to know in what capacity they are acting, as they may be both a director and a shareholder.",4. Financing a business.,Business Law and Practice
383,Who typically makes important decisions reserved for shareholders?,"Certain important decisions are reserved for shareholders, either due to the Companies Act 2006 or stipulations in the company’s articles.",5. Taxation of a business and its stakeholders.,Business Law and Practice
384,What statutory document are some shareholder decisions dictated by?,Some decisions must be made by shareholders because of the Companies Act 2006.,"6. The termination of a solvent business, corporate insolvency and personal bankruptcy.",Business Law and Practice
385,What might the company’s articles specify regarding shareholder decision-making?,The company's articles may stipulate certain decisions that must be made by shareholders.,"1. Starting a new business through the vehicle of a company, partnership, LLP or as a sole trader.",Business Law and Practice
386,What constitutes an ordinary resolution in the context of shareholder voting?,"An ordinary resolution is achieved by a bare majority of the votes cast at a general meeting, which is defined as 50% + 1 of the votes.",Ordinary resolutions,Business Law and Practice
387,Can ordinary resolutions be passed through a method other than a general meeting?,"Yes, most resolutions can also be passed by written resolution.",Ordinary resolutions,Business Law and Practice
388,What is one of the procedures that require an ordinary resolution for a private limited company that has adopted the model articles?,An ordinary resolution is required to remove a director.,Ordinary resolutions,Business Law and Practice
389,What type of transaction requires an ordinary resolution in a private limited company?,A substantial property transaction requires an ordinary resolution.,Ordinary resolutions,Business Law and Practice
390,Under what circumstances must an ordinary resolution be passed to authorise a loan in a private limited company?,An ordinary resolution is required to authorise a loan to a director.,Ordinary resolutions,Business Law and Practice
391,What approval is required for a private limited company to authorise a payment for loss of office?,An ordinary resolution is required to authorise a payment for loss of office.,Ordinary resolutions,Business Law and Practice
392,What type of financial action necessitates an ordinary resolution in a private limited company?,An ordinary resolution is required to authorise a share buyback.,Ordinary resolutions,Business Law and Practice
393,What process is needed to remove an auditor in a private limited company?,An ordinary resolution is required to remove an auditor.,Ordinary resolutions,Business Law and Practice
394,What must be ratified by an ordinary resolution concerning a director's conduct?,An ordinary resolution is required to ratify a director’s breach of duty.,Ordinary resolutions,Business Law and Practice
395,What is the voting requirement for passing a special resolution at a general meeting?,A special resolution requires a 75% majority of the votes cast at a general meeting.,Special resolutions,Business Law and Practice
396,Can most resolutions be passed through a method other than a general meeting?,"Yes, most resolutions can also be passed by written resolution.",Special resolutions,Business Law and Practice
397,Which actions require a special resolution in a private limited company that has adopted the model articles?,"The actions that require a special resolution include changing the name of the company, amending the articles of association, disapplying pre-emption rights, and approving a payment out of capital.",Special resolutions,Business Law and Practice
398,What are the requirements for private companies regarding annual general meetings (AGMs)?,"Private companies are no longer required by statute to hold AGMs, but there may be a provision in the articles that mandates one, particularly in situations such as the removal of a director or auditor.",General meetings,Business Law and Practice
399,Who calls general meetings for a company?,"General meetings are called by the board, and they may also be required to call a meeting if shareholders holding at least 5% of the issued voting shares request one.",General meetings,Business Law and Practice
400,What is the minimum notice period for calling a general meeting of a private company?,"Unless a longer period is stated in the articles, the minimum notice period for a general meeting is 14 clear days.",General meetings,Business Law and Practice
401,What happens if notice for a general meeting is given on the second day of the month?,"If notice is given on the second day of the month, the earliest the meeting can take place is the seventeenth day of the month, as the day of notice and the day of the meeting are not included in the calculation of the notice period.",General meetings,Business Law and Practice
402,Under what condition can a general meeting be called on short notice?,A general meeting can be called on short notice with the consent of a majority of shareholders who also hold 90% or more of the voting shares.,General meetings,Business Law and Practice
403,What resolutions require special notice of 28 days?,Resolutions such as the removal of a director or an auditor require special notice of 28 days.,General meetings,Business Law and Practice
404,What is the timeframe for calling a general meeting if instructed by shareholders?,"If instructed by shareholders, the meeting must be called within 21 days and scheduled for a date no more than 28 days from the instruction.",General meetings,Business Law and Practice
405,What is the quorum requirement for a company with one shareholder?,The quorum requirement for a company with one shareholder is one.,General meetings,Business Law and Practice
406,What is the general quorum requirement for a general meeting in companies with more than one shareholder?,"Unless specified otherwise in the articles, the quorum requirement for a general meeting is two shareholders.",General meetings,Business Law and Practice
407,How is voting conducted under the model articles during a general meeting?,"Under the model articles, voting is conducted on a show of hands unless a poll vote is requested, with each shareholder having one vote in that scenario.",General meetings,Business Law and Practice
408,How are votes counted in a poll vote?,"In a poll vote, votes are counted according to the number of voting shares held by each shareholder.",General meetings,Business Law and Practice
409,What types of companies are permitted to use written resolutions according to the statute?,Only private limited companies are permitted to use written resolutions; public companies are not allowed to use them.,Written resolutions,Business Law and Practice
410,Who can propose a written resolution in a private limited company?,A written resolution can be proposed by the board or by shareholders who control 5% of the voting shares.,Written resolutions,Business Law and Practice
411,What is the main advantage of using written resolutions for private limited companies?,The main advantage is that written resolutions can be more efficient as they negate the need for a general meeting.,Written resolutions,Business Law and Practice
412,In which two instances is the written resolution procedure not applicable?,The written resolution procedure is not applicable when there is an ordinary resolution to remove a director or an auditor.,Written resolutions,Business Law and Practice
413,What is the time frame for responses to be received on circulated written resolutions?,Written resolutions are open for response for 28 days.,Written resolutions,Business Law and Practice
414,What majority is required for a written resolution to be passed in a private limited company?,"A written resolution is passed once the required majority of shareholders entitled to vote is reached, which is either 50% +1 vote or 75%.",Written resolutions,Business Law and Practice
415,What is the required duration for which minutes of general meetings must be stored?,Minutes of all general meetings must be stored for ten years.,Minutes,Business Law and Practice
416,Is it necessary to record written ordinary or special resolutions?,"Yes, a record must be made of any written ordinary or special resolutions.",Minutes,Business Law and Practice
417,What is the primary role of shareholders in a company regarding management?,Shareholders are not responsible for the day-to-day management of the company; their role involves making significant decisions as dictated by the Companies Act 2006 or the company's organization.,3,Business Law and Practice
418,What is the principle that underlies most decisions made within a company?,"The principle of majority rule is fundamental in company law, and most decisions are made through an ordinary resolution.",3,Business Law and Practice
419,What type of resolution is required for certain important decisions in a company?,"Certain important decisions require a special resolution, and it is beneficial to memorise those that necessitate this type of resolution.",3,Business Law and Practice
420,How does the voting power of shareholders typically relate to their number of shares?,"Typically, the number of votes a shareholder has correlates with the number of shares they hold, though exceptions may exist.",3,Business Law and Practice
421,What is a possible scenario where a shareholder may not have voting rights?,A shareholder may hold shares that do not confer any voting rights as specified in the company’s articles of association.,3,Business Law and Practice
422,In what situation might a shareholder have more voting influence than others?,"Some shareholders may have weighted voting rights, providing them with greater influence than others in decisions, as outlined in the articles of association.",3,Business Law and Practice
423,Why is it important for a company law client to study the articles of association?,"Studying the articles of association is crucial because they stipulate the rights and obligations of shareholders, which directly affects decision-making within the company.",3,Business Law and Practice
424,What is the primary decision-making body in a company?,The board of directors is the primary decision-making body in the company.,Directors’ decision-making,Business Law and Practice
425,How can decisions be made by the board of directors?,Decisions can be made in a regular board meeting or by resolutions outside of meetings.,Directors’ decision-making,Business Law and Practice
426,How are resolutions passed at a board meeting under the model articles?,Resolutions at a board meeting are passed by a majority.,Directors’ decision-making,Business Law and Practice
427,What are the requirements for a board meeting to take place?,"Any director may call a board meeting, and unless stated otherwise in the articles, directors must be given reasonable notice of the meeting.",Directors’ decision-making,Business Law and Practice
428,How does the surrounding context affect the notice required for calling a board meeting?,"The meaning of ""reasonable"" notice will relate to the surrounding circumstances, and it may be reasonable to call a meeting at short notice in a crisis.",Directors’ decision-making,Business Law and Practice
429,What is the quorum requirement for a board meeting according to the model articles?,"The quorum is set at two directors, though a private company with just one director can still operate.",Directors’ decision-making,Business Law and Practice
430,What is the rule regarding a director with an interest in a transaction voting or being counted in the quorum?,"A director with an interest in a transaction cannot vote or be counted in the quorum on that issue, unless the clause is disapplied by ordinary resolution of shareholders.",Directors’ decision-making,Business Law and Practice
431,Who can be appointed as chair of the board under the model articles?,"The board may appoint one of the directors as chair, who will also chair general meetings if present.",Directors’ decision-making,Business Law and Practice
432,"How are voting resolutions in board meetings handled, and what happens in the case of a tie?","Board resolutions in meetings are passed by a majority, and in the event of a tie, the chair of the board has a casting vote.",Directors’ decision-making,Business Law and Practice
433,Under what circumstances might a director be precluded from voting?,A director may be precluded from voting or being counted in the quorum on a particular issue due to a conflict of interest.,Directors’ decision-making,Business Law and Practice
434,What is the record-keeping requirement for minutes of meetings and resolutions?,"Minutes of meetings must be taken and stored for ten years after the meeting, and records of resolutions taken outside board meetings must also be stored for ten years.",Directors’ decision-making,Business Law and Practice
435,Why is it important for businesses to adhere to record-keeping and minute-taking requirements?,"It is important because memories of corporate events often differ when businesspeople have disputes, making accurate records crucial.",Directors’ decision-making,Business Law and Practice
436,What has been a benefit during the Covid-19 pandemic regarding the decision-making process of boards?,The ability of boards to meet virtually has been a great benefit during the Covid-19 pandemic.,Directors’ decision-making,Business Law and Practice
437,What has been the legislature's effort regarding the process of directors' decision-making?,There has been a conscious effort of the legislature to ensure that the decision-making process is as streamlined as possible.,Directors’ decision-making,Business Law and Practice
438,How does the law view unanimous agreement in resolutions?,"The law takes a realistic view for resolutions where there is unanimous agreement, which is considered laudable.",Directors’ decision-making,Business Law and Practice
439,What is the primary role of the board of directors in a company?,"The board of directors serves as the primary decision-making body, responsible for making nearly all decisions of the company.","Starting a new business through the vehicle of a company, partnership, LLP or as a sole trader.",Business Law and Practice
440,In what forms can decisions be made by the board of directors?,Decisions can be made during regular board meetings or by resolutions outside of meetings.,The management of a business and company decision making to ensure compliance with statutory and other legal requirements.,Business Law and Practice
441,What is the requirement for passing resolutions at a board meeting according to the model articles?,Resolutions at a board meeting are passed on a majority.,Board resolutions,Business Law and Practice
442,Can board resolutions be made without a board meeting?,"Yes, board resolutions can be made without a board meeting if the board is in unanimous agreement.",Board resolutions,Business Law and Practice
443,Who has the authority to call a board meeting?,Any director may call a board meeting.,Board meetings,Business Law and Practice
444,"What constitutes ""reasonable"" notice for a board meeting?","""Reasonable"" notice is determined by the surrounding circumstances and may include short notice in a crisis.",Board meetings,Business Law and Practice
445,What is the quorum requirement for a board meeting as per the model articles?,The quorum is set at two directors as per the model articles.,Board meetings,Business Law and Practice
446,How can a private company with one director still operate according to the model articles?,A private company with just one director can operate under further clauses in the model articles that allow for this.,Board meetings,Business Law and Practice
447,What happens if a director has an interest in a transaction regarding their voting rights?,A director with an interest in a transaction cannot vote or be counted in the quorum on that issue unless the clause is disapplied by an ordinary resolution of shareholders.,Board meetings,Business Law and Practice
448,Who can chair a board meeting and general meetings according to the model articles?,"The board may appoint one of the directors as chair, who will also chair general meetings if present.",Board meetings,Business Law and Practice
449,How are board resolutions passed according to the model articles?,"Board resolutions are passed by a majority vote, with the chair having a casting vote in the event of a tie.",Board meetings,Business Law and Practice
450,Under what circumstances might a director be precluded from voting during a board meeting?,A director may be precluded from voting or being counted in the quorum due to a conflict of interest.,Board meetings,Business Law and Practice
451,For how long must minutes of board meetings be stored?,Minutes of meetings must be stored for ten years after the meeting.,Board meetings,Business Law and Practice
452,How long should records of resolutions taken outside board meetings be kept according to the model articles?,Records of resolutions taken outside board meetings must also be stored for ten years.,Board meetings,Business Law and Practice
453,What does the law concerning directors' decision-making aim to reflect?,The law aims to reflect commercial reality.,Commercial awareness talking point,Business Law and Practice
454,What have legislators done to enhance the decision-making process for directors?,Legislators have made a conscious effort to streamline the decision-making process.,Commercial awareness talking point,Business Law and Practice
455,What benefit has the ability for boards to meet virtually provided during the Covid-19 pandemic?,It has provided a great benefit to the decision-making process.,Commercial awareness talking point,Business Law and Practice
456,What is notable about the law's approach to resolutions with unanimous agreement?,The law takes a realistic view on resolutions where there is unanimous agreement.,Commercial awareness talking point,Business Law and Practice
457,Why is it important for businesses to focus on record-keeping and minute-taking?,It is important because memories of corporate events can differ when businesspeople have disputes later.,Commercial awareness talking point,Business Law and Practice
458,What are the general duties owed by directors to their companies as codified in the Companies Act 2006?,"The general duties include the duty to act within powers, promote the success of the company, exercise independent judgment, exercise reasonable care, skill, and diligence, avoid conflicts of interest, not accept benefits from third parties, and declare interests in proposed or existing transactions or arrangements.",Directors’ duties,Business Law and Practice
459,To whom are the duties of directors owed according to the Companies Act 2006?,"The duties are owed to the company itself as a separate legal entity, not to individual shareholders.",Directors’ duties,Business Law and Practice
460,What are the two specific duties encompassed within the duty to act in accordance with the constitution?,"The two duties are: (1) the duty to act in accordance with the constitution, meaning following the rules laid out in the articles of association; and (2) the duty to only exercise powers for the purposes for which they are conferred.",Directors’ duties,Business Law and Practice
461,What happens if a director is in breach of their duty to act in accordance with the constitution when entering a contract?,"If a director is in breach, the contract is likely still enforceable by the third party, but the director could be sued for breach by the company.",Directors’ duties,Business Law and Practice
462,What is the proper purpose doctrine in relation to a director's duties?,"The proper purpose doctrine states that a breach may occur if a director exercises a power for a substantially different purpose than that for which it was conferred, particularly concerning share issuance for manipulating voting rights.",Directors’ duties,Business Law and Practice
463,What is the standard of care expected of directors under section 174 of the Companies Act 2006?,"The standard of care has both objective and subjective characteristics, with an expectation of basic competence and a higher standard based on the specific role and actual skills of the director.",Directors’ duties,Business Law and Practice
464,What constitutes a conflict of interest for directors?,"A conflict of interest arises when a director takes a personal opportunity during their directorship unless they have received authorization from the board, and it is not prohibited by the articles.",Directors’ duties,Business Law and Practice
465,What are the requirements for a director to disclose their interest in a proposed transaction?,"A director must disclose the nature and extent of their interest before the company enters the transaction, unless they are not aware of the interest or transaction, the interest is not a reasonable conflict, the other directors already know, or it concerns their service contract.",Directors’ duties,Business Law and Practice
466,"Can a company ratify a breach of duty by a director, and what is required for such ratification?","Yes, a company can ratify a breach of duty through an ordinary resolution of shareholders, excluding the director in question and any associated persons.",Directors’ duties,Business Law and Practice
467,Under what circumstances can a court grant relief to a director in breach of duty according to section 1157 of the Companies Act 2006?,"A court may grant relief if the director has acted honestly and reasonably, even if they are technically in breach of their duty, such as the duty to exercise reasonable care, skill, and diligence.",Directors’ duties,Business Law and Practice
468,What significance does the duty to promote the success of the company hold in the context of directors' duties?,"The duty to promote the success of the company requires directors to act honestly and in good faith for the benefit of shareholders, taking into account various long-term considerations and interests of stakeholders.",Directors’ duties,Business Law and Practice
469,How do the provisions concerning directors' duties balance the need for diligence with entrepreneurial behavior?,"While the duty of care, skill, and diligence is significant, it is designed not to inhibit entrepreneurial activities; instead, it encourages directors to be adventurous as long as they follow a proper decision-making process.",Directors’ duties,Business Law and Practice
470,What are the general duties of directors as codified in the Companies Act 2006?,"The general duties of directors include the duty to act within powers, promote the success of the company, exercise independent judgment, exercise reasonable care, skill, and diligence, avoid conflicts of interest, not accept benefits from third parties, and declare interests in proposed and existing transactions or arrangements.",Chapter overview,Business Law and Practice
471,How can the duties of directors be enforced according to the Companies Act 2006?,"The text mentions that consideration is given to how these duties can be enforced, indicating that mechanisms for enforcement are discussed.",Chapter overview,Business Law and Practice
472,To whom are the duties owed in a company structure?,"Duties are owed to the company as a separate legal personality, not to individual shareholders.",To whom are the duties owed?,Business Law and Practice
473,What are the implications of duties being owed to the company?,"The company itself can most easily bring an action for breach of duty, especially during times of solvency.",To whom are the duties owed?,Business Law and Practice
474,Under what circumstances can a shareholder bring an action for breach of duty?,A shareholder can bring an action for breach in exceptional situations.,To whom are the duties owed?,Business Law and Practice
475,What are the two duties encompassed within the duty to act within powers as outlined in company law?,The two duties are the duty to act in accordance with the constitution and the duty to only exercise powers for the purposes for which they are conferred.,Duty to act within powers,Business Law and Practice
476,What does it mean for directors to act in accordance with the constitution?,It means that directors must follow the rules set out in the articles of association of the company.,Duty to act within powers,Business Law and Practice
477,What type of clause commonly appears in bespoke articles of association regarding directors' authority?,It is common for bespoke articles to include a clause requiring directors to obtain authorization from either the board or shareholders before entering contracts above a certain threshold.,Duty to act within powers,Business Law and Practice
478,What are the potential consequences for a director who breaches their duty to act in accordance with the constitution when entering a contract?,"If a director breaches this duty, the contract is likely still enforceable by a third party, but the director may be sued for breach by the company.",Duty to act within powers,Business Law and Practice
479,What is referred to as the proper purpose doctrine in the context of directors' duties?,The proper purpose doctrine refers to the duty of directors to only exercise powers for the purposes for which those powers were conferred.,Duty to act within powers,Business Law and Practice
480,Under what circumstances may a breach occur regarding the proper purpose doctrine?,A breach may occur if a director exercises a power for a purpose that is substantially different from the proper purpose for which the power was initially given.,Duty to act within powers,Business Law and Practice
481,What is a common issue addressed in case law concerning directors and the issuance of shares?,Much of the case law addresses directors issuing shares for the purpose of manipulating voting rights within a company.,Duty to act within powers,Business Law and Practice
482,What is the main purpose of issuing shares in a company?,The main purpose of issuing shares is to raise capital.,Duty to act within powers,Business Law and Practice
483,Can liability for breaching the duty to act within powers occur even if a director is attempting to promote the success of the company?,"Yes, liability for breach does not depend on bad faith or dishonesty; a director can still be in breach while seeking to promote the company's success.",Duty to act within powers,Business Law and Practice
484,What is the primary duty of directors as outlined in S.172 of the Companies Act 2006?,The primary duty of directors is to act honestly and in good faith to promote the success of the company for the benefit of the shareholders as a whole.,Duty to promote the success of the company,Business Law and Practice
485,How is the duty to promote the success of the company characterised in terms of expectation placed on directors?,It is characterised as a subjective test based on what the individual director honestly believes promotes the success of the company.,Duty to promote the success of the company,Business Law and Practice
486,What matters must directors have regard to under S.172 of the Companies Act 2006 when promoting the success of the company?,"Directors must have regard to the likely consequences of decisions in the long term, the interests of employees, relationships with suppliers and customers, the impact on the community and environment, the desirability of maintaining a high standard of business conduct, and the need to act fairly between members of the company.",Duty to promote the success of the company,Business Law and Practice
487,What is the significance of the duty to promote the success of the company in relation to derivative actions?,"The duty to promote the success of the company is referenced in several areas of the Companies Act, notably in the context of derivative actions, highlighting its importance within corporate governance.",Duty to promote the success of the company,Business Law and Practice
488,What is the primary duty of directors when making decisions on behalf of a company?,Directors have a duty to exercise their own independent judgement when making decisions.,Duty to exercise independent judgement,Business Law and Practice
489,Under what circumstances is the duty to exercise independent judgement not considered breached?,The duty is not considered breached if the company has previously entered into a valid agreement to restrict future discretion or if the director acts according to a provision in the articles.,Duty to exercise independent judgement,Business Law and Practice
490,What does Section 173(1) state regarding directors' responsibilities?,Section 173(1) states that a director of a company must exercise independent judgement.,Duty to exercise independent judgement,Business Law and Practice
491,In what situations might a director's duty to exercise independent judgement be particularly relevant?,"This duty is likely to be engaged when a director has been nominated by a shareholder, as the director must owe their duties to the company rather than the shareholder.",Duty to exercise independent judgement,Business Law and Practice
492,What does Section 173(2) specify regarding actions that do not infringe a director's duty to exercise independent judgement?,Section 173(2) specifies that the duty is not infringed by acting in accordance with a duly entered agreement that restricts the future exercise of discretion by directors or in a way authorized by the company's constitution.,Duty to exercise independent judgement,Business Law and Practice
493,"What is the difference between the duty to exercise reasonable care, skill, and diligence and the duties of honesty and loyalty?","The duty to exercise reasonable care, skill, and diligence relates specifically to matters of competence, whereas the duties of honesty and loyalty pertain to the ethical obligations of directors.","Duty to exercise reasonable care, skill, and diligence",Business Law and Practice
494,"How has the duty to exercise reasonable care, skill, and diligence evolved over time?",This duty has evolved to reflect professional development and modern expectations of directors.,"Duty to exercise reasonable care, skill, and diligence",Business Law and Practice
495,What are the characteristics of the standard of care expected under s.174 of the Companies Act 2006?,"The standard of care has both objective and subjective characteristics, requiring a basic standard of competence which can rise based on the director's specific role and their actual skills and experience.","Duty to exercise reasonable care, skill, and diligence",Business Law and Practice
496,What is the basic standard of competence expected from all directors?,A reasonably diligent person is expected to meet the basic standard of competence for all directors.,"Duty to exercise reasonable care, skill, and diligence",Business Law and Practice
497,In what way can the standard of care expected of a director increase?,The standard of care can increase based on the particular role the director plays in the company and any specific skills and experience that the director possesses.,"Duty to exercise reasonable care, skill, and diligence",Business Law and Practice
498,How does a director's qualifications affect their expected standard of care?,"If a director has a specific responsibility, such as financial management, and possesses relevant professional qualifications (e.g., as an accountant), they are likely to be held to a higher standard of care.","Duty to exercise reasonable care, skill, and diligence",Business Law and Practice
499,"Is the same test for the standard of care also applied in a different context, such as insolvency?","Yes, the same test for the standard of care is applied in the context of wrongful trading during insolvency.","Duty to exercise reasonable care, skill, and diligence",Business Law and Practice
500,What is the primary duty of directors concerning conflicts of interest?,Directors have a duty to avoid situations where their own interests conflict with their duties to the company.,Duty to avoid conflicts,Business Law and Practice
501,Does the duty to avoid conflicts of interest depend on the dishonesty of the director?,"No, the duty does not depend on dishonesty and can apply even if the director is acting in the best interests of the company.",Duty to avoid conflicts,Business Law and Practice
502,In what situation might a director's duty to avoid conflicts arise?,The duty often arises when a director takes up a personal opportunity during their directorship.,Duty to avoid conflicts,Business Law and Practice
503,What must a director obtain before taking up an opportunity that may conflict with their duties?,The director must obtain authorisation from the board if there is a reasonable possibility of conflict.,Duty to avoid conflicts,Business Law and Practice
504,Under what condition can the board authorise a director’s conflict of interest?,The board can authorise the conflict only if it is not prohibited by the articles of the company.,Duty to avoid conflicts,Business Law and Practice
505,What restrictions apply to the conflicted director during the authorisation process?,The conflicted director cannot vote on the authorisation and is not counted in the quorum.,Duty to avoid conflicts,Business Law and Practice
